BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Sep,Oct,Nov,Dec,Jan,Feb
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202228,IO666,GrossUnits,,,,,,16
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202152,IO666,GrossUnits,120,120,176,60,148,100
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL333,CG_STAPLES,S2202185,IO666,GrossUnits,52,52,78,26,58,28
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B628,PL320,CG_STAPLES,S1594121,IO666,GrossUnits,192,144,168,168,192,216
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B640,PL330,CG_STAPLES,S1396182,IO666,GrossUnits,80,92,112,56,96,42
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B640,PL332,CG_STAPLES,S1395887,IO666,GrossUnits,8,8,8,8,6,18
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_TARGET STORES ALL DIV (US),S2282201,IO679,GrossUnits,,,8795,23761,22027,30058
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_TARGET STORES ALL DIV (US),S2282200,IO679,GrossUnits,,,8763,18986,17600,24018
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1927341,IO666,GrossUnits,28,30,60,60,60,60
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1927342,IO666,GrossUnits,96,240,50,50,50,140
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1494291,IO666,GrossUnits,300,144,240,804,840,396
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1834322,IO666,GrossUnits,20,20,20,20,20,20
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1927364,IO666,GrossUnits,,,,,,156
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2003275,IO666,GrossUnits,768,790,758,673,324,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2003275,IO679,GrossUnits,,13120,39360,41000,16400,19680
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282181,IO679,GrossUnits,,64640,193920,202000,80800,96960
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282196,IO679,GrossUnits,,12240,36720,38250,15300,18360
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282197,IO679,GrossUnits,,5002,,,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282199,IO679,GrossUnits,,13452,40356,42038,16816,20178
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2285144,IO679,GrossUnits,,12644,37932,39514,15806,18966
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2182155,IO666,GrossUnits,1092,830,922,650,615,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2062565,IO666,GrossUnits,1092,830,922,650,615,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2182156,IO666,GrossUnits,1092,830,922,650,615,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_TARGET STORES ALL DIV (US),S1853563,IO679,GrossUnits,,,2093,2500,2318,3163
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_TARGET STORES ALL DIV (US),S2157321,IO679,GrossUnits,,,4382,12087,11205,15290
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_TARGET STORES ALL DIV (US),S2157322,IO679,GrossUnits,,,4209,18481,17132,23378
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S2277160,IO679,GrossUnits,,18880,56640,59000,23600,28320
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S2157321,IO666,GrossUnits,258,98,50,50,50,50
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S1849326,IO666,GrossUnits,2653,1592,1114,669,401,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S1846499,IO666,GrossUnits,1913,1148,803,482,289,174
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1848326,IO679,GrossUnits,20542,9560,,,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1833376,IO679,GrossUnits,37272,17334,,,,
