sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
UT38433-1-V1-FBM	7.84					
UT38436-1-FBM	7.78					
UT38436-1-V1-FBM	7.78					
UT38436-3-FBM	18.69					
UT38436-1-V2-FBM	7.78					
UT38436-5-FBM	24.94					
UT38436-6-FBM	28.07					
UT38436-2-FBM	12.02					
UT48121-1-FBM	12.05					
UT48122-1-FBM	9.72					
UT14715-1-FBM	14.04					
UT14716-1-FBM	14.04					
UT28689-1-FBM	6.96					
UT28689-1-V1-FBM	6.96					
UT28689-1-V2-FBM	6.96					
UT48105-1-FBM	11.98					
UT48124-1-FBM	9.72					
UT28690-1-FBM	6.08					
UT48111-1-FBM	14.04					
UT28702-1-FBM	8.51					
UT48123-1-FBM	9.72					
UT48108-1-FBM	6.55					
UT48120-1-FBM	16.5					
UT48104-1-FBM	6.55					
UT7888-1-FBM	13.31					
UT38419-1-FBM	14.44					
UT38419-1-V1-FBM	14.44					
UT38419-1-V2-FBM	14.44					
UT38419-1-V3-FBM	14.44					
UT7812-1-FBM	8.48					
UT38420-1-FBM	14.44					
UT91304-1-FBM	14.24					
UT91304-1-V1-FBM	14.24					
UT91304-2-FBM	19.16					
UT91304-3-FBM	25.41					
UT91304-6-FBM	41.49					
UT91304-1-V2-FBM	14.24					
UT7898-1-FBM	27.67					
UT48102-1-FBM	11.98					
UT7808-1-FBM	8.3					
UT39756-1-FBM	9.57					
UT39756-1-V1-FBM	9.72					
UT39756-3-FBM	23.77					
UT39756-5-FBM	32.52					
UT39756-7-FBM	42.6					
UT39756-10-FBM	55.72					
UT7895-1-FBM	11.08					
UT7809-1-FBM	14.89					
UT7875-1-FBM	15.64					
UT7908-1-FBM	11.71					
UT48125-1-FBM	7.84					
UT7893-1-FBM	15.56					
UT7893-3-FBM	39.99					
UT7893-6-FBM	71.99					
UT7893-2-FBM	29.77					
UT7801-1-FBM	6.26					
UT7801-6-FBM	19.03					
UT7801-12-FBM	27.4					
UT7801-1-V1-FBM	6.26					
UT75815-1-FBM	15.7					
UT7874-1-FBM	9.18					
UT7897-1-FBM	8.55					
UT7887-1-FBM	7.95					
UT7896-1-FBM	9.72					
UT7829-1-FBM	11.93					
UT7829-1-V1-FBM	11.93					
UT14619-1-FBM	16.77					
UT7805-1-FBM	21.95					
UT7906-2-FBM	21.82					
UT7894-1-FBM	13.03					
UT7804-1-FBM	15.24					
UT7804-6-FBM	51.46					
UT7803-8-FBM	40.59					
UT7803-1-FBM	12.9					
UT7803-1-V1-FBM	12.9					
UT7803-3-FBM	21.38					
UT7869-1-FBM	7.69					
UT7814-8-FBM	40.59					
UT7814-1-FBM	12.9					
UT7814-2-FBM	16.47					
UT7814-5-FBM	28.53					
UT7802-6-FBM	25.73					
UT7802-2-FBM	14.35					
UT7820-1-FBM	21.95					
UT7890-1-FBM	7.69					
UT7815-1-FBM	15.24					
UT7813-1-FBM	6.26					
UT7813-12-FBM	27.4					
UT7813-24-FBM	45.48					
UT7870-1-FBM	14.84					
UT7870-2-FBM	21.68					
UT7870-3-FBM	28.53					
UT7870-4-FBM	34.05					
UT7870-5-FBM	39.57					
UT7870-6-FBM	49.07					
UT7819-1-FBM	15.24					
UT7811-1-FBM	12.9					
UT7817-1-FBM	7.92					
UT7817-6-FBM	25.73					
UT7817-1-V1-FBM	7.92					
UT7905-2-FBM	15.04					
UT41433-1-FBM	12.38					
UT38442-1-FBM	9.37					
UT38442-3-FBM	21.22					
UT22647-1-FBM	14.84					
UT22647-6-FBM	45.08					
UT10621-1-FBM	15.61					
UT7886-1-FBM	18.88					
UT7886-2-FBM	28.44					
UT7886-6-FBM	69.33					
UT7886-3-FBM	39.33					
UT7858-2-FBM	21.79					
UT7858-4-FBM	34.26					
UT7858-6-FBM	48.06					
UT7858-12-FBM	86.8					
UT7858-1-FBM	11.57					
