sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
WP10001187-2-FBM	38.4					
WP10001191-1-FBM	11.82					
WP10001191-3-FBM	18.15					
WP10001193-1-FBM	15.64					
WP10001193-1-V1-FBM	15.64					
WP10001193-1-V2-FBM	15.64					
WP10001193-2-V1-FBM	27.53					
WP10001193-3-FBM	39.7					
WP10001193-5-FBM	64.82					
WP10001193-6-FBM	75.92					
WP10001193-7-FBM	87.03					
WP10001193-1-V3-FBM	15.64					
WP10001215-1-FBM	38.17					
WP10001237-1-FBM	16.99					
WP10001243-1-FBM	9.61					
WP10001283-1-FBM	6.92					
WP10001283-2-FBM	9.34					
WP10001332-10-FBM	79.91					
WP10001332-1-FBM	11.46					
WP10001332-2-FBM	19.19					
WP10001332-2-V1-FBM	19.19					
WP10001332-2-V2-FBM	19.19					
WP10001332-3-FBM	27.17					
WP10001332-4-FBM	37.03					
WP10001332-5-FBM	43.95					
WP10001332-6-FBM	50.88					
WP10001332-6-V1-FBM	50.88					
WP10001332-7-FBM	57.8					
WP10001332-8-FBM	64.73					
WP10001334-12-FBM	51.49					
WP10001334-1-FBM	7.72					
WP10001334-1-V1-FBM	7.72					
WP10001334-2-FBM	12.14					
WP10001334-3-FBM	16.61					
WP10001334-6-FBM	29.74					
WP10001334-9-FBM	41.28					
WP10001451-1-FBM	10.62					
WP10001451-4-FBM	30.75					
WP10001451-6-FBM	45.85					
WP10001470-1-FBM	16.34					
WP10001470-1-V1-FBM	16.34					
WP10001470-3-FBM	43.34					
WP10001478-1-FBM	22.8					
WP10001478-1-V1-FBM	22.8					
WP10001478-2-FBM	41.07					
WP10001482-1-FBM	9.02					
WP10001482-2-FBM	14.74					
WP10001493-1-FBM	8.32					
WP10001493-2-FBM	14.08					
WP10001613-1-FBM	11.82					
WP10001613-1-V1-FBM	11.82					
WP10001613-1-V2-FBM	11.82					
WP10001613-1-V3-FBM	11.82					
WP10001613-2-FBM	20.17					
WP10001613-2-V1-FBM	20.17					
WP10001613-3-FBM	26.92					
WP10001613-6-FBM	43.19					
WP10001617-10-FBM	164.7					
WP10001617-12-FBM	197.35					
WP10001617-12-V1-FBM	197.35					
WP10001617-12-V2-FBM	197.35					
WP10001617-1-FBM	20.45					
WP10001617-24-FBM	391.23					
WP10001617-24-V1-FBM	391.23					
WP10001617-3-FBM	52.27					
WP10001617-6-FBM	100.48					
WP10001721-1-FBM	8.51					
WP10001721-1-V1-FBM	8.51					
WP10001721-1-V2-FBM	8.51					
WP10001721-1-V3-FBM	8.51					
WP10001721-1-V4-FBM	8.51					
WP10001721-2-FBM	13.58					
WP10001721-3-FBM	18.56					
WP10001721-4-V1-FBM	23.41					
WP10001721-5-FBM	28.17					
WP10001721-6-FBM	33.52					
WP10001721-8-FBM	45.48					
WP10001728-1-FBM	15.7					
WP10001855-1-FBM	6.97					
WP10001901-1-FBM	8.51					
WP10001901-1-V1-FBM	8.51					
WP10001901-1-V2-FBM	8.51					
WP10001901-1-V3-FBM	8.51					
WP10001901-1-V4-FBM	8.51					
WP10001901-2-FBM	13.58					
WP10001901-3-FBM	18.56					
WP10001901-5-FBM	28.17					
WP10001912-1-FBM	8.51					
WP10001912-1-V1-FBM	8.51					
WP10001912-2-FBM	13.58					
WP10001912-2-V1-FBM	13.58					
WP10001912-3-FBM	18.56					
WP10001912-4-FBM	23.41					
WP10001915-1-FBM	31.26					
WP10001915-1-V1-FBM	31.26					
WP10001915-2-FBM	58.28					
WP10001915-3-FBM	88.09					
WP10001915-4-FBM	114.34					
WP10001964-1-FBM	6.67					
WP10001974-1-FBM	8.33					
WP10001996-1-FBM	9.49					
WP10001996-2-FBM	18.97					
WP10001996-3-FBM	23.8					
WP10001996-6-FBM	39.6					
WP10002032-1-FBM	17.62					
WP10002032-1-V1-FBM	17.62					
WP10002032-1-V2-FBM	17.62					
WP10002034-1-FBM	11.47					
WP10002034-2-FBM	18.41					
WP10002034-2-V1-FBM	18.41					
WP10002034-3-FBM	25.82					
WP10002034-4-FBM	33.09					
WP10002034-5-FBM	40.27					
WP10002034-6-FBM	48.03					
WP10002067-1-FBM	14.12					
WP10002067-1-V1-FBM	14.12					
WP10002067-3-FBM	35.68					
WP10002069-1-FBM	17.82					
WP10002069-1-V1-FBM	17.82					
WP10002069-1-V2-FBM	17.82					
WP10002069-3-FBM	44.91					
WP10002088-1-FBM	15.81					
WP10002088-1-V1-FBM	15.81					
WP10002088-3-FBM	40.22					
WP10002099-11-FBM	172.09					
WP10002099-12-FBM	186.77					
WP10002099-12-V1-FBM	186.77					
WP10002099-12-V2-FBM	186.77					
WP10002099-12-V3-FBM	186.77					
WP10002099-12-V4-FBM	186.77					
WP10002099-1-FBM	19.21					
WP10002099-24-FBM	364.22					
WP10002099-2-FBM	34.69					
WP10002099-3-FBM	50.43					
WP10002099-3-V1-FBM	50.43					
WP10002099-3-V2-FBM	50.43					
WP10002099-6-FBM	97.38					
WP10002099-1-V1-FBM	19.21					
WP10002122-10-FBM	96.8					
WP10002122-13-FBM	123.04					
WP10002122-1-FBM	13.28					
WP10002122-1-V1-FBM	13.28					
WP10002122-1-V3-FBM	13.28					
WP10002122-1-V4-FBM	13.28					
WP10002122-1-V5-FBM	13.28					
WP10002122-2-V1-FBM	22.03					
WP10002122-3-FBM	31.24					
WP10002122-6-FBM	58.88					
WP10002122-9-FBM	88.05					
WP10002197-1-FBM	13.26					
WP10002245-1-FBM	15.54					
WP10002245-1-V2-FBM	15.54					
WP10002245-2-FBM	26.55					
WP10002245-2-V1-FBM	26.55					
WP10002245-4-FBM	48.57					
WP10002321-1-FBM	23.93					
WP10002321-1-V1-FBM	23.93					
WP10002321-2-FBM	38.54					
WP10002321-3-FBM	54.48					
WP10002321-4-FBM	69.09					
WP10002321-6-FBM	99.64					
WP10002419-1-FBM	24.05					
WP10002419-1-V2-FBM	24.05					
WP10002419-1-V3-FBM	24.05					
WP10002419-2-FBM	38.78					
WP10002419-3-FBM	54.84					
WP10002419-4-V1-FBM	69.57					
WP10002419-6-FBM	100.36					
WP10002421-1-FBM	24.05					
WP10002421-1-V1-FBM	24.05					
WP10002421-1-V2-FBM	24.05					
WP10002421-1-V4-FBM	24.05					
WP10002421-1-V5-FBM	24.05					
WP10002421-1-V6-FBM	24.05					
WP10002421-2-FBM	38.78					
WP10002421-3-FBM	54.84					
WP10002421-5-FBM	84.3					
WP10002421-6-FBM	100.36					
WP10002426-1-FBM	24.05					
WP10002426-1-V1-FBM	24.05					
WP10002426-2-FBM	38.78					
WP10002426-3-FBM	54.84					
WP10002472-1-FBM	15.54					
WP10002524-10-FBM	84.67					
WP10002524-12-FBM	101.32					
WP10002524-1-FBM	12.45					
WP10002524-1-V1-FBM	12.45					
WP10002524-1-V2-FBM	12.45					
WP10002524-2-FBM	20.36					
WP10002524-3-FBM	28.27					
WP10002524-3-V1-FBM	28.27					
WP10002524-5-FBM	44.55					
WP10002524-7-FBM	60.7					
WP10002545-1-FBM	23.97					
WP10002550-1-FBM	29.7					
WP10002550-1-V1-FBM	29.7					
WP10002571-12-FBM	65.37					
WP10002571-1-FBM	8.54					
WP10002571-1-V1-FBM	8.54					
WP10002571-1-V2-FBM	8.54					
WP10002571-2-FBM	14.12					
WP10002571-3-FBM	19.25					
WP10002571-3-V1-FBM	19.25					
WP10002611-10-FBM	76.32					
WP10002611-1-FBM	11.9					
WP10002611-1-V1-FBM	11.9					
WP10002611-2-FBM	22.46					
WP10002611-3-FBM	29.02					
WP10002611-3-V1-FBM	29.02					
WP10002611-4-FBM	35.59					
WP10002611-5-FBM	43.49					
WP10002611-6-FBM	50.05					
WP10002611-7-FBM	56.62					
WP10002611-6-V1-FBM	50.05					
WP10002712-1-FBM	6.87					
WP10002712-2-FBM	9.55					
WP10002849-1-FBM	6.84					
WP10002922-10-FBM	40.03					
WP10002922-12-FBM	47.5					
WP10002922-1-FBM	7.42					
WP10002922-2-FBM	11.14					
WP10002922-3-FBM	14.78					
WP10002922-4-FBM	18.68					
WP10002922-5-FBM	24.68					
WP10002922-6-FBM	27.75					
WP10002922-8-FBM	33.89					
WP10003027-1-FBM	18.2					
WP10003054-11-FBM	136.36					
WP10003054-1-FBM	16.41					
WP10003054-2-FBM	28.28					
WP10003054-3-FBM	40.15					
WP10003068-1-FBM	8.36					
WP10003068-3-FBM	18.8					
WP10003155-1-FBM	21.82					
